Day fraction since midnight on 11/30/2019	7 kPa (Pa)	Influent Turbidity (NTU)	Effluent Turbidity (NTU)	PAC Flow Rate (mL/s)	drain control ()	Coagulant Pump ()	Clay Pump ()	clay pump flow rate (mL/s)	Water Pump ()
0.00003613	-3065.87915039	111.35033417	79.60838318	0.00363188	0.00000000	167.19006742	5.38191778	0.00161358	67.00071429
0.00009402	-3232.84375000	103.36113739	81.20630646	0.00363188	0.00000000	167.19006742	5.89921684	0.00176947	67.00071429
0.00015189	-2342.37963867	101.30714417	81.15316772	0.00363188	0.00000000	167.19006742	6.04812418	0.00181433	67.00071429
0.00020975	-2652.48754883	94.17224121	79.91458130	0.00363188	0.00000000	167.19006742	6.58942669	0.00197835	67.00071429
0.00026763	-2743.87670898	93.01548767	80.51327515	0.00363188	0.00000000	167.19006742	6.77918340	0.00202669	67.00071429
0.00032549	-3151.36865234	94.36045074	82.15339661	0.00363188	0.00000000	167.19006742	6.72564691	0.00201820	67.00071429
0.00038337	-4714.10693359	97.82789612	77.75136566	0.00363188	0.00000000	167.19006742	6.49886777	0.00194985	67.00071429
0.00044124	-4232.40136719	91.62207794	77.59265900	0.00363188	0.00000000	167.19006742	6.99776622	0.00210007	67.00071429
0.00049912	-2556.51123047	84.82299805	78.03527832	0.00363188	0.00000000	167.19006742	7.58678768	0.00227733	67.00071429
0.00055698	-2535.14941406	80.92890930	81.33222961	0.00363188	0.00000000	167.19006742	8.08332187	0.00242667	67.00071429
0.00061485	-2001.40148926	78.22718048	82.48097229	0.00363188	0.00000000	167.19006742	8.47404375	0.00254413	67.00071429
0.00067273	-2371.98608398	78.17623901	80.37649536	0.00363188	0.00000000	167.19006742	8.74210398	0.00262462	67.00071429
0.00073058	-2595.37451172	89.61919403	78.92310333	0.00363188	0.00000000	167.19006742	7.99248340	0.00239866	67.00071429
0.00078849	-3433.96704102	96.10002136	77.99040222	0.00363188	0.00000000	167.19006742	7.57306631	0.00227226	67.00071429
0.00084634	-5002.85791016	111.35702515	76.88328552	0.00363188	0.00000000	167.19006742	6.43311755	0.00192899	67.00071429
0.00090420	-4101.03662109	102.99984741	77.87950897	0.00363188	0.00000000	167.19006742	6.93673368	0.00208076	67.00071429
0.00096209	-2719.39868164	95.72280884	77.71497345	0.00363188	0.00000000	167.19006742	7.49194534	0.00224796	67.00071429
0.00101994	-2035.45568848	92.07327271	80.45526886	0.00363188	0.00000000	167.19006742	7.77154104	0.00233215	67.00071429
0.00107781	-2361.39892578	91.67510223	79.56566620	0.00363188	0.00000000	167.19006742	7.92323172	0.00237915	67.00071429
0.00113568	-3003.28466797	89.97099304	81.85214996	0.00363188	0.00000000	167.19006742	8.08681087	0.00244303	67.00071429
0.00119355	-3025.69384766	92.29883575	80.72561646	0.00363188	0.00000000	167.19006742	8.09443694	0.00242905	67.00071429
0.00125144	-2623.07299805	98.30949402	78.48851013	0.00363188	0.00000000	167.19006742	7.66375794	0.00229928	67.00071429
0.00130931	-4165.33691406	124.09210968	77.85852814	0.00363188	0.00000000	167.19006742	5.68750378	0.00170413	67.00071429
0.00136716	-5031.16503906	123.63273621	77.64537811	0.00363188	0.00000000	167.19006742	5.23164136	0.00156714	67.00071429
0.00142504	-3755.95703125	110.67660522	79.37374115	0.00363188	0.00000000	167.19006742	6.24980983	0.00187401	67.00071429
0.00148292	-2379.73803711	102.60530090	79.71010590	0.00363188	0.00000000	167.19006742	6.78621775	0.00203564	67.00071429
0.00154079	-2315.41357422	96.79815674	80.59371948	0.00363188	0.00000000	167.19006742	7.18811263	0.00215667	67.00071429
0.00159865	-2615.12792969	90.97495270	80.65198517	0.00363188	0.00000000	167.19006742	7.72091402	0.00231707	67.00071429
0.00165652	-2323.20043945	93.89716339	80.41660309	0.00363188	0.00000000	167.19006742	7.58565752	0.00227623	67.00071429
0.00171440	-2491.33764648	103.46498108	80.38739014	0.00363188	0.00000000	167.19006742	7.13241286	0.00213969	67.00071429
0.00177227	-4163.99609375	112.76530457	78.78374481	0.00363188	0.00000000	167.19006742	6.13918314	0.00184063	67.00071429
